sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
R,-9.5602,22.0282,5.1169,0.4315,-3.0575,-0.5034,-9.4752,21.9703,5.2077,0.2417,-3.0952,-0.5615,0.2162
L,-9.3041,22.0465,5.1224,0.3023,-3.0826,-0.5006,-9.2540,22.0030,5.1625,0.1427,-3.1140,-0.5537,2.6940
R,-9.0478,22.0584,5.1245,0.1739,-3.1077,-0.4977,-8.9930,21.9953,5.1708,-0.0310,-3.1476,-0.5622,0.2826
L,-8.7915,22.0639,5.1234,0.0463,-3.1326,-0.4947,-8.7114,22.0133,5.2112,-0.1452,-3.1695,-0.5560,0.6876
R,-8.5353,22.0631,5.1189,-0.0803,-3.1573,-0.4916,-8.4482,21.9954,5.2282,-0.3502,-3.2085,-0.5775,4.4491
L,-8.2795,22.0559,5.1114,-0.2059,-3.1819,-0.4885,-8.1621,22.0036,5.2649,-0.4596,-3.2287,-0.5690,1.0707
R,-8.0240,22.0425,5.1007,-0.3304,-3.2063,-0.4853,-7.8914,21.9960,5.2680,-0.5775,-3.2508,-0.5624,3.0359
L,-7.7692,22.0229,5.0870,-0.4537,-3.2306,-0.4820,-7.6543,21.9864,5.2197,-0.6840,-3.2719,-0.5566,1.6692
R,-7.5152,21.9971,5.0703,-0.5757,-3.2547,-0.4786,-7.3942,21.9356,5.2085,-0.8895,-3.3107,-0.5755,1.9580
L,-7.2620,21.9653,5.0508,-0.6962,-3.2786,-0.4752,-7.1643,21.9008,5.1411,-1.0125,-3.3361,-0.5730,1.1335
R,-7.0099,21.9275,5.0285,-0.8153,-3.3023,-0.4716,-6.9020,21.8517,5.1197,-1.1480,-3.3622,-0.5696,0.5394
L,-6.7590,21.8838,5.0035,-0.9328,-3.3259,-0.4680,-6.7232,21.7850,4.9665,-1.2891,-3.3956,-0.5758,3.3587
R,-6.5094,21.8342,4.9758,-1.0487,-3.3493,-0.4644,-6.4999,21.7465,4.8807,-1.3299,-3.4076,-0.5498,5.4683
L,-6.2613,21.7789,4.9457,-1.1629,-3.3725,-0.4606,-6.3233,21.6829,4.7432,-1.4441,-3.4371,-0.5532,3.0755
R,-6.0147,21.7179,4.9131,-1.2754,-3.3956,-0.4568,-6.0845,21.6196,4.6856,-1.4981,-3.4511,-0.5280,6.3460
L,-5.7698,21.6513,4.8782,-1.3860,-3.4184,-0.4529,-5.8486,21.5669,4.6580,-1.5841,-3.4694,-0.5207,0.9221
R,-5.5266,21.5793,4.8411,-1.4947,-3.4411,-0.4490,-5.6213,21.4891,4.6185,-1.7208,-3.4983,-0.5281,2.5940
L,-5.2855,21.5018,4.8018,-1.6015,-3.4635,-0.4450,-5.3476,21.4358,4.6534,-1.7930,-3.5094,-0.5133,2.0108
R,-5.0463,21.4191,4.7604,-1.7063,-3.4858,-0.4409,-5.0894,21.3592,4.6480,-1.8722,-3.5245,-0.4996,7.7199
L,-4.8092,21.3312,4.7172,-1.8091,-3.5078,-0.4367,-4.8565,21.3032,4.6174,-1.9258,-3.5367,-0.4881,2.5071
R,-4.5744,21.2382,4.6720,-1.9098,-3.5296,-0.4325,-4.6379,21.2209,4.5386,-1.9504,-3.5475,-0.4638,5.3749
L,-4.3418,21.1401,4.6252,-2.0084,-3.5513,-0.4282,-4.3430,21.2160,4.6324,-1.9110,-3.5329,-0.4284,12.6591
R,-4.1116,21.0373,4.5766,-2.1049,-3.5727,-0.4238,-4.0961,21.1419,4.6168,-1.9466,-3.5406,-0.4106,3.0846
